barcode,length,width,height
0000000003128,12.0,7.0,4.0
0000000048670,19.0,12.0,2.5
0000000090843,11.5,11.5,5.0
0000000093577,7.0,6.0,25.5
039612116489,9.0,7.5,4.0
041689300494,5.2,2.8,14.0
041689301224,8.0,3.7,17.5
0603125981638,41.2,30.5,1.5
0700083931764,31.5,30.5,0.1
0700083931771,31.5,30.5,0.1
0700083931788,31.5,30.5,0.1
0700371600983,38.0,15.0,3.0
078257592609,25.0,15.5,2.0
078257596423,25.0,16.0,2.0
095866678203,4.5,4.5,33.0
095866681609,4.5,4.5,37.0
095866682002,4.5,4.5,27.0
1002003004004,15.5,11.5,6.0
1002003004305,15.3,11.0,2.0
1017013221107,28.5,21.3,0.3
106719,12.5,7.5,1.5
107223,8.0,2.0,14.0
1074010970010,10.0,7.0,0.5
1074011274018,10.0,7.0,1.0
1074011274049,10.0,7.0,0.5
1074011275022,10.0,7.0,0.5
1074011275046,10.0,7.0,0.5
1074011276043,10.0,7.0,0.5
1074011276074,10.0,7.0,0.5
1087512,8.0,8.0,3.5
10991767,24.0,3.5,18.0
10992407,29.0,19.0,3.5
11179239429,16.5,16.5,1.5
1118131614061,24.0,10.5,0.3
115552393691034,16.0,13.5,24.0
11700630,8.5,5.0,0.5
11721208,21.0,7.5,3.5
11901082,8.0,5.0,1.5
11901761,14.0,6.0,0.5
11902416,10.0,7.5,1.0
11902904,14.0,9.0,2.0
11903963,11.0,5.0,3.0
11904564,18.0,15.0,0.5
11906124,6.0,6.0,3.5
11907206,23.0,4.5,0.5
11908326,17.0,4.5,1.5
11909194,7.3,7.3,1.5
11909927,14.0,6.0,5.0
11913191,18.5,4.5,0.3
1200000000003,18.0,18.0,17.5
1200452000002,17.0,17.0,4.5
1213754692288,11.5,6.0,0.7
1220000130739,10.5,9.0,11.5
1220000130869,11.0,9.0,11.0
1220000132481,11.0,9.5,10.0
125263890813,14.0,7.0,2.0
1269742333442,15.0,5.0,23.0
1269742369786,15.0,4.5,23.5
1281234567839,70.0,19.0,15.0
1301193800002,11.0,9.0,3.5
1302456000009,16.0,7.0,0.5
1302466000006,16.0,7.0,0.5
1302468000004,9.5,7.0,1.0
1303425000006,9.0,6.0,16.0
13051560003,25.5,18.5,1.0
